DRE;CODESC;TIPOESC;NOMESC;DIRETORIA;SUBPREF;CEU;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;CODDIST;DISTRITO;SETOR;CODINEP;CODCIE;EH;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_FUNC;DT_AUTORIZA;NOME_ANT;T2D3D;T2D3D16;T2D3D15;T2D3D14;T2D3D13;T2D3D12;T2D3D11;T2D3D10;T2D3D09;T2D3D08;T2D3D07;DTURNOS;DTURNOS16;DTURNOS15;DTURNOS14;DTURNOS13;DTURNOS12;DTURNOS11;DTURNOS10;DTURNOS09;DTURNOS08;DTURNOS07;LATITUDE;LONGITUDE;REDE;DATABASE
IP;092479;EMEI;ZENAIDE GRANDINI, PROFA.;IPIRANGA;VILA PRUDENTE;;RUA GRÃO MONGOL;240;VILA CALIFÓRNIA;03213030;29173033;;;Ativa;93;VILA PRUDENTE;9302;35052711;052711;161068196000000;;;;08/10/1956;16/03/1991;VILA CALIFORNIA - PI 75;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;MIV;-23605181;-46560357;DIR;30/04/2017
IP;092487;EMEI;SEBASTIAO SANCHES MARTINES, PROF;IPIRANGA;VILA PRUDENTE;;AVENIDA SÃO LUCAS;284;PARQUE SÃO LUCAS;03239000;21540217;;29114142;Ativa;72;SAO LUCAS;7202;35052693;052693;161068184000000;;;;14/07/1958;18/09/1985;PARQUE SAO LUCAS - PI 87;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;-23595078;-46547862;DIR;30/04/2017
IP;092495;EMEI;JOSE VERISSIMO;IPIRANGA;VILA PRUDENTE;;RUA ANTONIO DE PAIVA AZEVEDO;16;PARQUE TOMAZ SARAIVA;03284080;22168138;;29187335;Ativa;72;SAO LUCAS;7201;35052681;052681;161068182000000;11/11/1977;14.760;11/11/1977;03/04/1978;21/09/1985;;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;-23587216;-46537512;DIR;30/04/2017
IP;092509;EMEI;BRENNO FERRAZ DO AMARAL;IPIRANGA;VILA PRUDENTE;;RUA JACITARA TIPITI;217;JARDIM GUAIRACA;03244090;21541101;22117933;22117933;Ativa;72;SAO LUCAS;7203;35084256;084256;161068177000000;14/08/1986;22.612;14/08/1986;30/03/1981;13/05/1981;JARDIM GUAIRACAS;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;-23604358;-46539531;DIR;30/04/2017
SM;092517;EMEI;ORIGENES LESSA;SAO MATEUS;SAPOPEMBA;;AVENIDA EGIDIO MARTINS;S/N;VILA PRIMAVERA;03390010;21547468;;21541098;Ativa;76;SAPOPEMBA;7601;35085522;085522;161080202000000;14/12/1981;17.727;14/12/1981;15/02/1982;07/09/1982;JARDIM PRIMAVERA;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;MT;MT;MT;INTEGR;MT;MT;MT;MT;MIV;MIV;MIV;-23591121;-46526495;DIR;30/04/2017
SM;092525;EMEI;BENJAMIN CONSTANT;SAO MATEUS;SAPOPEMBA;;ESTRADA CASA GRANDE;431;VILA CUNHA BUENO;03260000;21433699;;21433553;Ativa;76;SAPOPEMBA;7608;35052668;052668;161080171000000;;;;02/01/1976;30/07/1985;;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;MIV;-23603605;-46514108;DIR;30/04/2017
SM;092533;EMEI;JOSE CLEMENTE PEREIRA;SAO MATEUS;SAPOPEMBA;;AVENIDA DOUTOR PAULO COLOMBO P DE QUEIROZ;320;PARQUE SANTA MADALENA;03982130;27022074;;27022674;Ativa;76;SAPOPEMBA;7607;35081024;081024;161080196000000;14/12/1981;17.727;14/12/1981;11/02/1982;18/09/1985;JARDIM MARIA THEREZINHA;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;MIV;-23611404;-46509527;DIR;30/04/2017
SM;092541;EMEI;VICENTE DE CARVALHO;SAO MATEUS;SAPOPEMBA;;RUA VICTORIA MARCONATO ZONTA;60;JARDIM SAPOPEMBA;03975090;29191017;;;Ativa;76;SAPOPEMBA;7604;35052899;052899;161080206000000;;;;24/11/1975;27/03/1985;;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT;MIV;-23610152;-46493197;DIR;30/04/2017
SM;092550;EMEI;ATAULFO ALVES;SAO MATEUS;SAO MATEUS;;RUA CACHOEIRA DE MINAS;172;JARDIM SANTA ADÉLIA;03973050;29191689;;20153215;Ativa;73;SAO MATEUS;7305;35084311;084311;161080120000000;24/12/1980;17.101;24/12/1980;01/02/1981;;JARDIM SANTA ADELIA;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;INTEGR;MT;MTG;INTEGR;MT;MT;MT;MT;MT;MT;MT;-23616995;-46480483;DIR;30/04/2017
SM;092568;EMEI;MARIO DE ANDRADE;SAO MATEUS;SAO MATEUS;;AVENIDA SARGENTO IRACITAN COIMBRA;511;JARDIM VERA CRUZ;08310580;29193849;;;Ativa;75;SAO RAFAEL;7506;35052851;052851;161080158000000;07/10/1977;14.715;07/10/1977;07/10/1977;30/07/1985;;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;MIV;-23619092;-46473471;DIR;30/04/2017
SM;092576;EMEI;VITAL BRAZIL, DR.;SAO MATEUS;SAO MATEUS;;AVENIDA RODOLFO PIRANI;320;JARDIM RODOLFO PIRANI;08310000;27512289;;27513210;Ativa;75;SAO RAFAEL;7503;35052826;052826;161080162000000;;;;12/10/1975;18/09/1985;;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;MIV;-23627545;-46462552;DIR;30/04/2017
SM;092584;EMEI;ANTONIA DE OLIVEIRA MOTA DE ARAUJO, PROFA.;SAO MATEUS;SAO MATEUS;;RUA CINIRA POLONIO;1;CONJ PROMORAR RIO CLARO;08395320;27512869;;;Ativa;75;SAO RAFAEL;7504;35090736;090736;161080141000000;;;;12/01/1983;02/03/1983;ADUTORA DO RIO CLARO;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;MIV;-23622229;-46457862;DIR;30/04/2017
SM;092592;EMEI;MANOEL FIEL FILHO;SAO MATEUS;SAO MATEUS;;RUA DOUTOR ARISTIDES RICARDO;297;PARQUE SAO RAFAEL;08311270;20153211;29191512;20153211;Ativa;75;SAO RAFAEL;7501;35085571;085571;161080152000000;14/12/1981;17.727;14/12/1981;01/02/1982;01/09/1982;PARQUE SAO RAFAEL;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;MIV;-23624858;-46469605;DIR;30/04/2017
SM;092606;EMEI;ADEVALDO DE MORAES;SAO MATEUS;SAPOPEMBA;;RUA ORESTE DAMOLIN;791;CONJUNTO PROMORAR SAPOPEMBA;03927360;27020526;27043404;27043404;Ativa;76;SAPOPEMBA;7603;35090633;090633;161080163000000;08/08/1983;18.909;08/08/1983;18/10/1983;19/03/1986;CONJ. PROMORAR SAPOPEMBA;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;MIV;-23601846;-46498323;DIR;30/04/2017
SM;092614;EMEI;CARLOS HUMBERTO VOLPON, PROF.;SAO MATEUS;SAPOPEMBA;;RUA SARGENTO LUIS RODRIGUES FILHO;191;COHAB MARECHAL MASCARENHAS DE MORAIS;03977360;29196446;;20153185;Ativa;76;SAPOPEMBA;7606;35091364;091364;161080174000000;10/09/1984;20.146;10/09/1984;18/10/1984;21/05/1986;COHAB MASCARENHAS DE MORAES;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;MIV;-23617561;-46496496;DIR;30/04/2017
SM;092622;EMEF;ARLINDO CAETANO FILHO, PROF.;SAO MATEUS;SAPOPEMBA;;RUA PALMEIRA BACABA;39;JARDIM ELBA;03980050;27020953;27038600;27038600;Ativa;76;SAPOPEMBA;7607;35087142;087142;161080164000000;30/04/1982;17.949;29/04/1982;28/06/1982;02/07/1983;PARQUE MADALENA;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23615571;-46510166;DIR;30/04/2017
SM;092631;EMEI;CLOVIS BEVILACQUA;SAO MATEUS;SAPOPEMBA;;RUA JOSE DE QUEIROZ MATOS;190;JARDIM GRIMALDI;03922040;21431388;;27038747;Ativa;76;SAPOPEMBA;7601;35054948;054948;161080182000000;25/01/1985;20.604;25/01/1985;01/02/1985;10/04/1981;;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;MIV;-23598262;-46515676;DIR;30/04/2017
SM;092649;EMEI;CHIQUINHA GONZAGA;SAO MATEUS;SAPOPEMBA;;RUA CARLO CLAUSETTI;298;CONJ PROMORAR SAPOPEMBA;03928220;27047791;27020604;;Ativa;76;SAPOPEMBA;7603;35092927;092927;161080179000000;01/03/1985;20.718;01/03/1985;03/03/1985;13/03/2001;;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;-23604965;-46500952;DIR;30/04/2017
SM;092657;EMEI;NINI DUARTE;SAO MATEUS;SAPOPEMBA;;RUA ESQUIVEL NAVARRO;180;COHAB TEOTONIO VILELA;03928130;27049915;27043178;27043178;Ativa;76;SAPOPEMBA;7603;35092939;092939;161080200000000;01/03/1985;20.718;01/03/1985;09/04/1985;13/03/2001;;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;MIV;-23603731;-46505299;DIR;30/04/2017
